name,1948,1956,1966,1977,1992,2002,2011
ALBA,361062,370800,382786,409634,413919,382747,342376
ARAD,476207,475620,481248,512020,487617,461791,430629
ARGES,448964,483741,529833,631918,681206,652625,612431
BACAU,414996,507937,598321,667791,737512,706623,616168
BIHOR,536323,574488,586460,633094,638863,600246,575398
BISTRITA-NASAUD,233650,255789,269954,286628,326820,311657,286225
BOTOSANI,385236,428050,452406,451217,461305,452834,412626
BRASOV,300836,373941,442692,582863,643261,589028,549217
BRAILA,271251,297276,339954,377954,392031,373174,321212
BUZAU,430225,465829,480951,508424,516961,496214,451069
CARAS-SEVERIN,302254,327787,358726,385577,376347,333219,295579
CALARASI,287722,318573,337261,338807,338804,324617,306691
CLUJ,520073,580344,629746,715507,736301,702755,691106
CONSTANTA,311062,369940,465752,608817,748769,715151,684082
COVASNA,157166,172509,176858,199017,233256,222449,210177
DAMBOVITA,409272,438985,453241,527620,562041,541763,518745
DOLJ,615301,642028,691116,750328,762142,734231,660544
GALATI,341797,396138,474279,581561,641011,619556,536167
GIURGIU,313793,325045,320120,327494,313352,297859,281422
GORJ,280524,293031,298382,348521,401021,387308,341594
HARGHITA,258495,273964,282392,326310,348335,326222,310867
HUNEDOARA,306955,381902,474602,514436,547950,485712,418565
IALOMITA,244750,274655,291373,295965,306145,296572,274148
IASI,431586,516635,619027,729243,811342,816910,772348
ILFOV,167533,196265,229773,287738,286965,300123,388738
MARAMURES,321287,367114,427645,492860,540099,510110,478659
MEHEDINTI,304788,304091,310021,322371,332673,306732,265390
MURES,461403,513261,561598,605345,610053,580851,550846
NEAMT,357348,419949,470206,532096,578420,554516,470766
OLT,442442,458982,476513,518804,523291,489274,436400
PRAHOVA,557776,623817,701057,817168,874349,829945,762886
SATU MARE,312672,337351,359393,393840,400789,367281,344360
SALAJ,262580,271989,263103,264569,266797,248015,224384
SIBIU,335116,372687,414756,481645,452873,421724,397322
SUCEAVA,439751,507674,572781,633899,701830,688435,634810
TELEORMAN,487394,510488,516222,518943,483840,436025,380123
TIMIS,588936,568881,607596,696884,700033,677926,683540
TULCEA,192228,223719,236709,254531,270997,256492,213083
VASLUI,344917,401626,431555,437251,461374,455049,395499
VALCEA,341590,362356,368779,414241,438388,413247,371714
VRANCEA,290183,326532,351292,369740,393408,387632,340310
MUNICIPIUL BUCURESTI,1025180,1177661,1366684,1807239,2067545,1926334,1883425
